video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=rWkoSnD1V68&list=RDrWkoSnD1V68&start_radio=1&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGphenqgBwE%3D,/@RhinestonesUnlimited,RhinestonesUnlimited,University of Minnesota Dance Team Jazz Full Performance | Best of the Best 2026,140K,5 days,"The legacy continues. 〽️ One week before heading to Orlando for the UDA Collegiate Nationals, the University of Minnesota ...",2026-01-21 23:12:43.828381
/watch?v=yCAAQCs61pQ&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@UCFKnights,UCF Knights,UCF DANCE TEAM // 2026 UDA Nationals DIA Jazz Semifinals,88K,3 days,Courtesy VarsityTV. UCF Dance Team's DIA Jazz Semifinals routine at the 2026 UDA College Nationals.,2026-01-21 23:12:43.830418
/watch?v=RkztnE8gLI0&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,Ohio State University Dance Team Pom 2024,4.9K,2 weeks,UDA College Dance Team National Championship D1A Pom Finals 1st Place Choreography:,2026-01-21 23:12:43.831619
/watch?v=zVBDor0Tpbs&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,Louisiana State University Dance Team Jazz 2026,219,7 hours,UDA College Dance Team National Championship D1A Jazz Finals 2nd Place Choreography:,2026-01-21 23:12:50.661957
/watch?v=Sb3ef_t8RtY&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,Utah Valley University Dance Team Jazz 2026,81,20 hours,UDA College Dance Team National Championship D1 Jazz Finals 4th Place Choreography:,2026-01-21 23:12:50.663310
/watch?v=mrZ6C8CELGA&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,San Diego State University Dance Team Jazz 2026,60,7 hours,UDA College Dance Team National Championship D1A Jazz Finals 5th Place Choreography:,2026-01-21 23:12:50.664578
/watch?v=ntnv3wWMnk0&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@osuclubdanceteam,The Ohio State University Club Dance Team,Ohio State Club Dance Team D1A Jazz 2025,321,4 months,NDA College Nationals Sixth Place Choreography: Carter Williams Music: Hold on Tight by Thomas Azier.,2026-01-21 23:12:50.666305
/watch?v=YH2Jxrakc1E&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2025 Ohio State Pom,135K,11 months,"D1A Pom Runner-Up Head Choreographer: Carsen Rowe, TRIBE99 Assistant Choreographer(s): Hailey Willis, Katie Devine ...",2026-01-21 23:12:50.667538
/watch?v=eWsblAi238I&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,Cal State University Fullerton Dance Team Jazz 2026,178,21 hours,UDA College Dance Team National Championship D1 Jazz Finals 2nd Place Choreography:,2026-01-21 23:12:50.668869
/watch?v=s_176izXJFQ&list=RDs_176izXJFQ&start_radio=1&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGphenqgBwE%3D,/@mconstant5678,MCONSTANT2,LSU Tiger Girls - UDA National Champions - 2024,1.6M,2 years,Hip Hop Division.,2026-01-21 23:12:50.670160
/watch?v=T2F-aqCGpgI&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,Penn State University Dance Team Jazz 2026,846,8 hours,UDA College Dance Team National Championship D1A Jazz Finals 12th Place Choreography:,2026-01-21 23:12:50.671459
/watch?v=skJSV0uWasI&list=RDskJSV0uWasI&start_radio=1&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGphenqgBwE%3D,/@bucklag,Buck Lag ,"OHIO STATE UNIVERSITY Dance Interpretation of ""My Way""    #champion",11K,1 year,"myway #franksinatra I finally understood and appreciated the song My Way. Now it's one of my favorite songs. Thank you, Ohio ...",2026-01-21 23:12:50.673856
/watch?v=-I6HauanRF4&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,University of Minnesota Dance Team Jazz 2025,32K,11 months,UDA College Dance Team National Championship D1A Jazz Finals Runner Up Choreography: Tessandra Chavez.,2026-01-21 23:12:50.675102
/watch?v=oN0vUvqmJQo&list=RDoN0vUvqmJQo&start_radio=1&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGphenqgBwE%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2022 The Ohio State University - UDA Home Routine,51K,3 years,Choreography: Taylor Tsvyetkov Music: Roddy Ricch *We do not own the rights to this music.,2026-01-21 23:12:50.679229
